id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4478178007088559,IwNLytK3B,5974334886,羊小恩YXE,学校是疯了吗？是不是拉什么赞助让我们当背锅侠?牛x三点十七发的通知三点半要答复，不回就自负，人干事?整天搞那些有的没的，各种软件乱下，还不好用，到底是人性的沦丧还是道德的滑坡?,,,,,0,1,1,2020-03-02 23:51,OPPO R9,,,
4478177357825078,IwNKvwPEW,5283669321,_Evie624_,huo👩🏻‍💻思想不滑坡,,,,,0,4,5,2020-03-02 23:49,iPhone XS Max,"['http://ww3.sinaimg.cn/large/005LzJKVgy1gcg0kz9a7uj31sc1scnpd.jpg', 'http://ww1.sinaimg.cn/large/005LzJKVgy1gcg0l1bcadj32ds1sc7wi.jpg']",,
4478176095161351,IwNItlEHB,3376169340,家里蹲教授无铭,滑坡的愉快你不懂~L家里蹲教授无铭的微博视频,,,,,39,36,155,2020-03-02 23:44,微博 weibo.com,,"http://f.video.weibocdn.com/BL6HV97Glx07BobUnnlK010412004gAz0E010.mp4?label=mp4_ld&template=360x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1591781554&ssig=v0blvTBY23&KID=unistore,video",
4478174886667181,IwNGwrYrb,2701126062,SCHW3INS7EIGER,剧情大半还不错，俗套却优质，有点分量，但结尾配合政宣就滑坡了…没有特别强的戏剧冲突，虽显寡淡但又温情…恰到好处的励志是人类和社会所需要的…男主父母撑起了生活化的笑点，后来还搭档《我可能不会爱你》中的程爸程妈，很配…有耳朵有眼睛不代表耳聪目明，人心就不是能轻易听懂看懂的…#听说#,,,,听说,0,0,0,2020-03-02 23:39,Android,,,
4478171409907924,IwNAUFzve,6403623147,Xiuxiuray,只要思想不滑坡，办法总比困难多。本人思想一直处于泥石流的状态哈哈哈哈哈,,,,,0,0,1,2020-03-02 23:25,,,,
4478167664416475,IwNuSiwVt,6910891591,胸多鷄少,我现在大概能明白赞土豆团队想要干掉风车姐的心了…风车姐大概是赞土豆团队上山的最大阻力滑坡的最牛助力祝风车姐身体健康长命百岁祝赞土豆泥石流到地心今天也是佩服风车姐的一天,,,,,0,23,30,2020-03-02 23:10,,,,
4478164258806101,IwNpnAWRT,7244417219,白塔小船不用桨,有的人的逻辑我真的不懂，你与其直接滑坡到觉得要被外国人强奸，不如先担心一下被中国男孩打死吧,,,,,0,0,22,2020-03-02 22:57,微博国际版,,,
4478162420941114,IwNmq3WPg,6505837337,Doctor-Jack-o-lantern,从物料看三季以来的审美滑坡……我等着看s3的正式海报能是个啥样。,,,,,0,0,0,2020-03-02 22:49,,"['http://ww2.sinaimg.cn/large/0076hPuhly1gcfyy1z400j30k00tntcw.jpg', 'http://ww2.sinaimg.cn/large/0076hPuhly1gcfyy2gknij30jm0u0wj0.jpg', 'http://ww1.sinaimg.cn/large/0076hPuhly1gcfyy3gx5ij31120ku7e3.jpg']",,
4478161196206507,IwNkrq2AX,5131609083,妈咪妈咪轰呛,只要思想不滑坡办法总比困难多,,,,,0,0,0,2020-03-02 22:44,iPhone客户端,"['http://ww3.sinaimg.cn/large/005BhHWrgy1gcfytg1it4j32c0340b29.jpg', 'http://ww1.sinaimg.cn/large/005BhHWrgy1gcfytdfxbnj33402c0qv5.jpg']",,
4478160559467712,IwNjpDIZ2,5203199966,最精彩的视频,父爱如山。。。体滑坡。,,,,,1,0,0,2020-03-02 22:42,即刻笔记,"['http://ww4.sinaimg.cn/large/70f86863ly1fse4264zzlg208w07l1ky.jpg', 'http://ww2.sinaimg.cn/large/70f86863ly1fse44pa8cfg208w0ft1lc.jpg', 'http://ww4.sinaimg.cn/large/70f86863ly1fse42gavrag20bo06k7wh.jpg', 'http://ww3.sinaimg.cn/large/70f86863ly1fse42al2qxg205d043wkn.jpg', 'http://ww1.sinaimg.cn/large/70f86863ly1fse42v1kbog20b4069x6p.jpg', 'http://ww4.sinaimg.cn/large/70f86863ly1fse42q4fqbg206o05kb29.jpg', 'http://ww1.sinaimg.cn/large/70f86863ly1fse42oo9wxg209p06o4qp.jpg', 'http://ww2.sinaimg.cn/large/70f86863ly1fse42gc7mtg206403fap6.jpg', 'http://ww1.sinaimg.cn/large/70f86863ly1fse42vp9wjg206m06o1ky.jpg']",,
4478158260769210,IwNfI3e6C,5902393068,轩美尼教育官微,只要思想不滑坡方法总比困难多线上学习再次开启ZL家人永远不会停止成长,,宜兴市,,,0,0,0,2020-03-02 22:33,前置双摄vivo X9,['http://ww1.sinaimg.cn/large/006rrQ4cly1gcfyhe6mhqj30u0190wiu.jpg'],,
4478157698393590,IwNeNzdyu,2848867885,babeei-boy,只要思想不滑坡方法总比困难多,,,,,0,0,1,2020-03-02 22:30,iPhone客户端,"['http://ww4.sinaimg.cn/large/a9ce462dgy1gcfyesxzylj21w01w07wh.jpg', 'http://ww1.sinaimg.cn/large/a9ce462dgy1gcfyeu3u2gj21w01w07wh.jpg', 'http://ww3.sinaimg.cn/large/a9ce462dgy1gcfyerp42jj21w01w0e5a.jpg']",,
4478155744143469,IwNbEhnU9,6364672076,曹乐乐lele,网课初体验白课有点糟糕，晚课还不错。这回才意识到自己老师有多好，好希望疫情快点过去，这一切快点结束吧。希望这是个好运的三月。最后借用shan老师的一句话“只要思想不滑坡，办法总比困难多。”,,,,,0,0,0,2020-03-02 22:23,iPhone客户端,"['http://ww4.sinaimg.cn/large/006WJvXely1gcfxy6agz8j30hr0qxtbk.jpg', 'http://ww3.sinaimg.cn/large/006WJvXely1gcfxy6lc43j30ku1ey424.jpg', 'http://ww1.sinaimg.cn/large/006WJvXely1gcfxy7bghaj30ku0pidi2.jpg', 'http://ww2.sinaimg.cn/large/006WJvXely1gcfxy7rojtj30ku1tmq78.jpg', 'http://ww1.sinaimg.cn/large/006WJvXely1gcfxyavxorj31w02iokjm.jpg', 'http://ww1.sinaimg.cn/large/006WJvXely1gcfxy5pg7fj30ku14qgot.jpg', 'http://ww2.sinaimg.cn/large/006WJvXely1gcfxy84rhnj30ku112k2g.jpg', 'http://ww2.sinaimg.cn/large/006WJvXely1gcfxy8l3xzj30ku0n7dhj.jpg', 'http://ww1.sinaimg.cn/large/006WJvXely1gcfy0otcj7j30ku0fcab6.jpg']",,
